address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
Lakeshore Dr,Westwood,MA,02090,NA,1226.0,3.0,1.5,586,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/184131852_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Oak St,WESTWOOD,MA,02090,NA,1226.0,3.0,2.5,286,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/184131705_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Carroll Ave,WESTWOOD,MA,02090,NA,1436.0,3.0,2.5,23,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/249458787_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
564 Peakham Rd,SUDBURY,MA,01776,569000,1702.0,3.0,2.0,8,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/564-Peakham-Rd-Sudbury-MA-01776/57114203_zpid/
25 Washington Dr,SUDBURY,MA,01776,759000,2360.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Washington-Dr-Sudbury-MA-01776/57115168_zpid/
32 Bowditch Rd,SUDBURY,MA,01776,899900,4665.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/32-Bowditch-Rd-Sudbury-MA-01776/57110921_zpid/
16 Meadowbrook Cir,SUDBURY,MA,01776,769900,2746.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/16-Meadowbrook-Cir-Sudbury-MA-01776/57114025_zpid/
252 Concord Rd,SUDBURY,MA,01776,899000,4663.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/252-Concord-Rd-Sudbury-MA-01776/57114305_zpid/
187 Goodmans Hill Rd,SUDBURY,MA,01776,699000,2618.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/187-Goodmans-Hill-Rd-Sudbury-MA-01776/57114840_zpid/
4 Confidence Way,SUDBURY,MA,01776,499900,840.0,3.0,1.0,112,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4-Confidence-Way-Sudbury-MA-01776/57115311_zpid/
484 North Rd,SUDBURY,MA,01776,314000,1154.0,3.0,1.0,NA,Foreclosure,http://www.zillow.com/homes/for_sale//homedetails/484-North-Rd-Sudbury-MA-01776/57111092_zpid/
50 Willis Lake Dr,SUDBURY,MA,01776,475000,1334.0,3.0,2.0,41,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/50-Willis-Lake-Dr-Sudbury-MA-01776/57112564_zpid/
39 Walker Farm Rd,SUDBURY,MA,01776,929000,4022.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/39-Walker-Farm-Rd-Sudbury-MA-01776/57115476_zpid/
360 Hudson Rd,SUDBURY,MA,01776,495500,2452.0,3.0,1.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/360-Hudson-Rd-Sudbury-MA-01776/57112676_zpid/
157 Horse Pond Rd,SUDBURY,MA,01776,899900,4265.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/157-Horse-Pond-Rd-Sudbury-MA-01776/57114575_zpid/
35 Wagonwheel Rd,SUDBURY,MA,01776,595000,1664.0,3.0,2.0,41,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/35-Wagonwheel-Rd-Sudbury-MA-01776/57116008_zpid/
87 Water Row,SUDBURY,MA,01776,749900,2985.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/87-Water-Row-Sudbury-MA-01776/57114379_zpid/
4 Marlboro Rd,SUDBURY,MA,01776,600000,2543.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4-Marlboro-Rd-Sudbury-MA-01776/57112794_zpid/
20 Concord Rd,SUDBURY,MA,01776,649000,2240.0,3.0,2.0,40,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20-Concord-Rd-Sudbury-MA-01776/57115327_zpid/
196 Haynes Rd,SUDBURY,MA,01776,899000,3828.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/196-Haynes-Rd-Sudbury-MA-01776/57111469_zpid/
7 Hammond Cir,SUDBURY,MA,01776,799900,3680.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Hammond-Cir-Sudbury-MA-01776/57114493_zpid/
195 Horse Pond Rd,SUDBURY,MA,01776,510900,1810.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/195-Horse-Pond-Rd-Sudbury-MA-01776/57114678_zpid/
191 Horse Pond Rd,SUDBURY,MA,01776,499000,1562.0,3.0,2.0,30,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/191-Horse-Pond-Rd-Sudbury-MA-01776/57114679_zpid/
17 King Philip Rd,SUDBURY,MA,01776,1799000,6860.0,4.0,6.0,7,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17-King-Philip-Rd-Sudbury-MA-01776/57115342_zpid/
4 Farmstead Lane (gps: 528 Boston Post Rd) # 8Z7SGP,Sudbury,MA,01776,712395,2160.0,2.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2088231796_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
568 North Rd,SUDBURY,MA,01776,549000,1746.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/568-North-Rd-Sudbury-MA-01776/57111041_zpid/
4 Farmstead Lane (gps: 528 Boston Post Rd) # NR5853,Sudbury,MA,01776,765845,2418.0,2.0,3.0,NA,New Construction,"http://www.zillow.com/homes/for_sale/2088231797_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
15 Adams Rd,SUDBURY,MA,01776,729000,3757.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/15-Adams-Rd-Sudbury-MA-01776/57115207_zpid/
133 Dutton Rd,SUDBURY,MA,01776,900000,2722.0,5.0,3.0,82,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/133-Dutton-Rd-Sudbury-MA-01776/57115018_zpid/
38 Carriage Way,SUDBURY,MA,01776,1099999,5491.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/38-Carriage-Way-Sudbury-MA-01776/57115062_zpid/
193 Dutton Rd,SUDBURY,MA,01776,3495000,10888.0,5.0,7.0,121,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/193-Dutton-Rd-Sudbury-MA-01776/57114402_zpid/
384 Dutton Rd,SUDBURY,MA,01776,899900,3815.0,4.0,4.0,69,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/384-Dutton-Rd-Sudbury-MA-01776/57113937_zpid/
521 North Rd,SUDBURY,MA,01776,574900,2008.0,4.0,3.0,43,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/521-North-Rd-Sudbury-MA-01776/57111029_zpid/
40 Widow Rites Ln,SUDBURY,MA,01776,1329000,6201.0,4.0,6.0,4,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/40-Widow-Rites-Ln-Sudbury-MA-01776/57112144_zpid/
35 Taintor Dr,SUDBURY,MA,01776,1369000,6079.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/35-Taintor-Dr-Sudbury-MA-01776/57110964_zpid/
96 Stock Farm Rd,SUDBURY,MA,01776,739900,3548.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/96-Stock-Farm-Rd-Sudbury-MA-01776/57116142_zpid/
931 Concord Rd,SUDBURY,MA,01776,849000,2866.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/931-Concord-Rd-Sudbury-MA-01776/57112338_zpid/
75 Goodnow Rd,SUDBURY,MA,01776,2499000,6486.0,5.0,6.0,708,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/75-Goodnow-Rd-Sudbury-MA-01776/61806236_zpid/
35 Fox Hill Dr,SUDBURY,MA,01776,1194000,5638.0,5.0,6.0,110,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/35-Fox-Hill-Dr-Sudbury-MA-01776/57111062_zpid/
54 Blackmer Rd,SUDBURY,MA,01776,539900,1488.0,3.0,2.0,121,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/54-Blackmer-Rd-Sudbury-MA-01776/57115698_zpid/
33 Goodmans Hill Rd,SUDBURY,MA,01776,829000,4928.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/33-Goodmans-Hill-Rd-Sudbury-MA-01776/57115499_zpid/
12 Antique Cir,SUDBURY,MA,01776,929900,2796.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/12-Antique-Cir-Sudbury-MA-01776/57114352_zpid/
32 Ironworks Rd,SUDBURY,MA,01776,1375000,5412.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/32-Ironworks-Rd-Sudbury-MA-01776/57110970_zpid/
64 Thompson Dr,SUDBURY,MA,01776,999000,3596.0,4.0,3.0,40,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/64-Thompson-Dr-Sudbury-MA-01776/57112336_zpid/
10 Northwood Dr UNIT 303,SUDBURY,MA,01776,389000,1695.0,1.0,2.0,NA,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/10-Northwood-Dr-UNIT-303-Sudbury-MA-01776/63421033_zpid/
32 Cudworth Ln,SUDBURY,MA,01776,1325000,5450.0,4.0,5.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/32-Cudworth-Ln-Sudbury-MA-01776/57112127_zpid/
17 Run Brook Cir,SUDBURY,MA,01776,1065000,4123.0,5.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/17-Run-Brook-Cir-Sudbury-MA-01776/57112687_zpid/
63 Goodnow Rd,SUDBURY,MA,01776,1799000,5023.0,5.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/63-Goodnow-Rd-Sudbury-MA-01776/61806233_zpid/
821-(1 Boston Post Rd,Sudbury,MA,01776,1199500,NA,NA,NA,1,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/821-(1-Boston-Post-Rd-Sudbury-MA-01776/2090116562_zpid/
36 Fox Run Rd,SUDBURY,MA,01776,1067500,5560.0,5.0,4.0,29,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-Fox-Run-Rd-Sudbury-MA-01776/57114074_zpid/
0 Mossman Rd,Sudbury,MA,01776,149900,NA,NA,NA,21,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Mossman-Rd-Sudbury-MA-01776/2088381418_zpid/
102 Bigelow Dr,SUDBURY,MA,01776,1799000,7234.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/102-Bigelow-Dr-Sudbury-MA-01776/57115528_zpid/
225 Willis Rd,SUDBURY,MA,01776,849000,3020.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/225-Willis-Rd-Sudbury-MA-01776/57112148_zpid/
253 Mossman Rd,SUDBURY,MA,01776,769900,2985.0,5.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/253-Mossman-Rd-Sudbury-MA-01776/57111409_zpid/
521 Peakham Rd,SUDBURY,MA,01776,725000,2994.0,4.0,4.0,168,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/521-Peakham-Rd-Sudbury-MA-01776/57114209_zpid/
22 Curry Ln,SUDBURY,MA,01776,1375000,4000.0,4.0,5.0,107,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-Curry-Ln-Sudbury-MA-01776/57111306_zpid/
9 Spruce Ln,SUDBURY,MA,01776,1424000,6650.0,6.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/9-Spruce-Ln-Sudbury-MA-01776/63420986_zpid/
93 Powers Rd,SUDBURY,MA,01776,679000,2211.0,5.0,3.0,14,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/93-Powers-Rd-Sudbury-MA-01776/57111129_zpid/
23 Maynard Farm Cir,SUDBURY,MA,01776,1300000,5857.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23-Maynard-Farm-Cir-Sudbury-MA-01776/57111137_zpid/
25 Skyview Ln,SUDBURY,MA,01776,1925000,7913.0,5.0,6.0,35,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Skyview-Ln-Sudbury-MA-01776/57110957_zpid/
150 Concord Rd,SUDBURY,MA,01776,849900,4124.0,4.0,3.0,113,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/150-Concord-Rd-Sudbury-MA-01776/57114823_zpid/
207 Pratts Mill Rd,SUDBURY,MA,01776,1099900,3510.0,5.0,4.0,44,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/207-Pratts-Mill-Rd-Sudbury-MA-01776/57113153_zpid/
85 Indian Ridge Rd,SUDBURY,MA,01776,969000,2961.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/85-Indian-Ridge-Rd-Sudbury-MA-01776/57114883_zpid/
23 Sawmill Ln,SUDBURY,MA,01776,1145000,5292.0,5.0,5.0,160,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23-Sawmill-Ln-Sudbury-MA-01776/57112971_zpid/
22 Julians Way,SUDBURY,MA,01776,1245000,5194.0,5.0,5.0,82,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-Julians-Way-Sudbury-MA-01776/57111498_zpid/
120 Ruddock Rd,SUDBURY,MA,01776,1119000,5000.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/120-Ruddock-Rd-Sudbury-MA-01776/57111797_zpid/
36 Babe Ruth Dr,SUDBURY,MA,01776,1699000,7040.0,5.0,5.0,63,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-Babe-Ruth-Dr-Sudbury-MA-01776/57113283_zpid/
59 Widow Rites Ln,SUDBURY,MA,01776,2399000,8747.0,4.0,7.0,125,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/59-Widow-Rites-Ln-Sudbury-MA-01776/57112138_zpid/
29 Plympton Rd,SUDBURY,MA,01776,2249000,5445.0,5.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/29-Plympton-Rd-Sudbury-MA-01776/57114374_zpid/
22 Farmstead Ln # 208,Sudbury,MA,01776,473995,1312.0,2.0,2.0,40,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-208-Sudbury-MA-01776/2088647024_zpid/
179 Mossman Rd,SUDBURY,MA,01776,995000,4247.0,4.0,4.0,126,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/179-Mossman-Rd-Sudbury-MA-01776/57111912_zpid/
86 Kato Dr,SUDBURY,MA,01776,2495000,6958.0,4.0,4.0,43,New Construction,http://www.zillow.com/homes/for_sale//homedetails/86-Kato-Dr-Sudbury-MA-01776/123756464_zpid/
14 Cobblestone Ln,SUDBURY,MA,01776,1600000,8141.0,5.0,6.5,84,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/14-Cobblestone-Ln-Sudbury-MA-01776/57110928_zpid/
197 Old Sudbury Rd,SUDBURY,MA,01776,1295000,3974.0,5.0,5.0,335,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/197-Old-Sudbury-Rd-Sudbury-MA-01776/57114359_zpid/
25 Wyman Dr,SUDBURY,MA,01776,1225000,5911.0,4.0,5.0,189,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Wyman-Dr-Sudbury-MA-01776/57112064_zpid/
4 Michael Ln,SUDBURY,MA,01776,1550000,6574.0,5.0,6.0,60,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4-Michael-Ln-Sudbury-MA-01776/57112136_zpid/
52 Goodnow Rd,SUDBURY,MA,01776,1725000,6462.0,5.0,7.0,1068,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/52-Goodnow-Rd-Sudbury-MA-01776/57113424_zpid/
27 Hopestill Brown Rd,SUDBURY,MA,01776,1095000,4176.0,5.0,5.0,154,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/27-Hopestill-Brown-Rd-Sudbury-MA-01776/57115912_zpid/
206 Concord Rd,Sudbury,MA,01776,1695000,5297.0,5.0,5.0,149,New Construction,http://www.zillow.com/homes/for_sale//homedetails/206-Concord-Rd-Sudbury-MA-01776/165886928_zpid/
34 Northwood Dr # 34,Sudbury,MA,01776,629900,2260.0,2.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/34-Northwood-Dr-34-Sudbury-MA-01776/2090805861_zpid/
11 Twillingate Rd,SUDBURY,MA,01776,1695000,5519.0,7.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-Twillingate-Rd-Sudbury-MA-01776/67079624_zpid/
40 Tall Pine Dr UNIT 10,SUDBURY,MA,01776,925000,2206.0,2.0,3.0,12,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/40-Tall-Pine-Dr-UNIT-10-Sudbury-MA-01776/125788852_zpid/
20 Cobblestone Ln,SUDBURY,MA,01776,1695000,8300.0,5.0,7.0,54,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/20-Cobblestone-Ln-Sudbury-MA-01776/57110796_zpid/
101 Greystone Ln,SUDBURY,MA,01776,1399000,5404.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-Greystone-Ln-Sudbury-MA-01776/57111444_zpid/
43 Meachen Ln,SUDBURY,MA,01776,1599000,6751.0,5.0,5.0,118,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/43-Meachen-Ln-Sudbury-MA-01776/57110875_zpid/
81 Cudworth Ln,SUDBURY,MA,01776,1599000,6837.0,5.0,5.0,118,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/81-Cudworth-Ln-Sudbury-MA-01776/57112134_zpid/
200 Horse Pond Rd,SUDBURY,MA,01776,699000,1050.0,3.0,1.0,196,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/200-Horse-Pond-Rd-Sudbury-MA-01776/57114705_zpid/
15 Powers Rd,SUDBURY,MA,01776,601000,3142.0,4.0,2.0,120,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/15-Powers-Rd-Sudbury-MA-01776/57111093_zpid/
71 Brimstone Ln,Sudbury,MA,01776,820000,3243.0,4.0,3.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/71-Brimstone-Ln-Sudbury-MA-01776/165888325_zpid/
5 Austin Rd,SUDBURY,MA,01776,550000,1654.0,3.0,2.0,351,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/5-Austin-Rd-Sudbury-MA-01776/57113899_zpid/
25 Bridle Path,SUDBURY,MA,01776,1699000,6077.0,5.0,5.0,181,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Bridle-Path-Sudbury-MA-01776/57114691_zpid/
370 Maynard Rd,Sudbury,MA,01776,989000,3975.0,4.0,4.0,89,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/370-Maynard-Rd-Sudbury-MA-01776/165884428_zpid/
23 Cutting Ln,Sudbury,MA,01776,1599000,4688.0,5.0,5.0,54,New Construction,http://www.zillow.com/homes/for_sale//homedetails/23-Cutting-Ln-Sudbury-MA-01776/2090118425_zpid/
15 Farmstead Ln # 17,Sudbury,MA,01776,759760,2120.0,2.0,3.0,7,New Construction,http://www.zillow.com/homes/for_sale//homedetails/15-Farmstead-Ln-17-Sudbury-MA-01776/2088175613_zpid/
238 Horse Pond Rd,SUDBURY,MA,01776,600000,1712.0,3.0,2.0,128,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/238-Horse-Pond-Rd-Sudbury-MA-01776/57114092_zpid/
45 Fairbank Rd LOT 4-5,Sudbury,MA,01776,324900,NA,NA,NA,301,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/45-Fairbank-Rd-LOT-4-5-Sudbury-MA-01776/2092289656_zpid/
774 Concord Rd,SUDBURY,MA,01776,1475000,6200.0,4.0,5.0,429,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/774-Concord-Rd-Sudbury-MA-01776/57112322_zpid/
22 Farmstead Ln # 409,Sudbury,MA,01776,589995,1720.0,2.0,2.0,210,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-409-Sudbury-MA-01776/2091371472_zpid/
22 Farmstead Ln # 103,Sudbury,MA,01776,452995,1312.0,2.0,2.0,210,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-103-Sudbury-MA-01776/2091371475_zpid/
69 Brewster Rd,Sudbury,MA,01776,885000,NA,NA,NA,12,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/69-Brewster-Rd-Sudbury-MA-01776/2099451386_zpid/
22 Farmstead Ln # 307,Sudbury,MA,01776,402995,934.0,1.0,1.0,120,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-307-Sudbury-MA-01776/2089884772_zpid/
30 Meadowbrook Rd,SUDBURY,MA,01776,585000,1752.0,3.0,2.0,408,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/30-Meadowbrook-Rd-Sudbury-MA-01776/57114006_zpid/
22 Farmstead Ln # 402,Sudbury,MA,01776,492995,1312.0,2.0,2.0,210,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-402-Sudbury-MA-01776/2091371469_zpid/
10 Farmstead # 5,Sudbury,MA,01776,766445,2120.0,2.0,3.0,103,New Construction,http://www.zillow.com/homes/for_sale//homedetails/10-Farmstead-5-Sudbury-MA-01776/2089594635_zpid/
22 Farmstead Ln # 105,Sudbury,MA,01776,554995,1720.0,2.0,2.0,210,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-105-Sudbury-MA-01776/2091371468_zpid/
10 Farmstead Ln,Sudbury,MA,01776,761055,2160.0,2.0,3.0,NA,New Construction,http://www.zillow.com/homes/for_sale//homedetails/10-Farmstead-Ln-Sudbury-MA-01776/2088309459_zpid/
22 Farmstead Ln # 407,Sudbury,MA,01776,419995,934.0,1.0,1.0,210,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-407-Sudbury-MA-01776/2091371471_zpid/
22 Farmstead Ln # 104,Sudbury,MA,01776,524995,1600.0,2.0,2.0,210,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-104-Sudbury-MA-01776/2091371470_zpid/
22 Farmstead Ln # 401,Sudbury,MA,01776,574995,1600.0,2.0,2.0,210,New Construction,http://www.zillow.com/homes/for_sale//homedetails/22-Farmstead-Ln-401-Sudbury-MA-01776/2091371474_zpid/
71 Brewster Rd,Sudbury,MA,01776,850000,NA,NA,NA,12,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/71-Brewster-Rd-Sudbury-MA-01776/2099451378_zpid/
0 Ward Rd,Sudbury,MA,01776,399000,NA,NA,NA,342,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Ward-Rd-Sudbury-MA-01776/2092748545_zpid/
69 & 71 Brewster Rd,Sudbury,MA,01776,1475000,NA,NA,NA,12,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/69-71-Brewster-Rd-Sudbury-MA-01776/2088256578_zpid/
Widow Rites Ln,Sudbury,MA,01776,NA,NA,0.0,NA,721,Foreclosed,http://www.zillow.com/homes/for_sale//homedetails/Widow-Rites-Ln-Sudbury-MA-01776/165884524_zpid/
96 Old Lancaster Rd,Sudbury,MA,01776,995000,NA,NA,NA,342,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/96-Old-Lancaster-Rd-Sudbury-MA-01776/2092752633_zpid/
Harvey's Farm Ln LOT 1&2,Sudbury,MA,01776,1225000,NA,NA,NA,37,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/Harvey's-Farm-Ln-LOT-12-Sudbury-MA-01776/2088615986_zpid/
0 Goodnow,Sudbury,MA,01776,775000,NA,NA,NA,443,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Goodnow-Sudbury-MA-01776/2093975098_zpid/
4 Raynor Rd,SUDBURY,MA,01776,699000,2762.0,3.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/4-Raynor-Rd-Sudbury-MA-01776/57113088_zpid/
Wolbach Rd,Sudbury,MA,01776,NA,5150.0,4.0,5.0,301,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/243667850_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Concord Rd,Sudbury,MA,01776,NA,1992.0,3.0,2.5,538,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/166148459_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Stock Farm Rd,SUDBURY,MA,01776,NA,2366.0,4.0,2.5,150,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/246933564_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Chanticleer Rd,SUDBURY,MA,01776,NA,3042.0,4.0,2.5,51,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/249047795_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Poplar St,SUDBURY,MA,01776,NA,2975.0,4.0,2.5,35,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/249388690_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Beechwood Ave,SUDBURY,MA,01776,NA,1477.0,3.0,2.0,133,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/247485508_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Dutton Rd,SUDBURY,MA,01776,NA,3468.0,4.0,3.0,97,Pre-Foreclosure,"http://www.zillow.com/homes/for_sale/247975695_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Southwest Cir,SUDBURY,MA,01776,NA,5125.0,4.0,4.5,91,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/248608046_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Concord Rd,Sudbury,MA,01776,NA,4051.0,3.0,2.5,434,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/166148452_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Pendleton Rd,Sudbury,MA,01776,NA,2851.0,4.0,2.5,679,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/166148454_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
Barton Dr,Sudbury,MA,01776,NA,1410.0,3.0,2.5,587,Pre-Foreclosure (Auction),"http://www.zillow.com/homes/for_sale/166148455_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/"
