address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url
68 Robin Rd,WESTON,MA,02493,2495000,5197.0,5.0,4.0,90,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/68-Robin-Rd-Weston-MA-02493/57136306_zpid/
21 Plain Rd,WESTON,MA,02493,1799900,6000.0,5.0,6.0,25,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/21-Plain-Rd-Weston-MA-02493/57135765_zpid/
7 Cutters Blf,WESTON,MA,02493,2875000,6510.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Cutters-Blf-Weston-MA-02493/123562687_zpid/
22 Church St,WESTON,MA,02493,4150000,6448.0,7.0,5.0,67,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/22-Church-St-Weston-MA-02493/57135685_zpid/
501 Glen Rd,WESTON,MA,02493,3500000,8034.0,5.0,8.0,84,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/501-Glen-Rd-Weston-MA-02493/57137090_zpid/
12 Westerly Rd,WESTON,MA,02493,4695000,9286.0,6.0,9.0,203,New Construction,http://www.zillow.com/homes/for_sale//homedetails/12-Westerly-Rd-Weston-MA-02493/57136139_zpid/
100 Orchard Ave,WESTON,MA,02493,4490000,8663.0,6.0,6.0,699,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/100-Orchard-Ave-Weston-MA-02493/59213891_zpid/
332 Conant Rd,WESTON,MA,02493,949000,2116.0,3.0,2.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/332-Conant-Rd-Weston-MA-02493/57134802_zpid/
110 Walker St,WESTON,MA,02493,3999000,5500.0,5.0,6.0,124,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/110-Walker-St-Weston-MA-02493/57136215_zpid/
30 Cedar Rd,WESTON,MA,02493,4199000,8000.0,5.0,7.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/30-Cedar-Rd-Weston-MA-02493/57136309_zpid/
18 Wildflower Ln,WESTON,MA,02493,3688000,8338.0,7.0,6.0,488,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/18-Wildflower-Ln-Weston-MA-02493/57136588_zpid/
107 Concord Rd,Weston,MA,02493,2750000,6575.0,5.0,5.5,69,New Construction,http://www.zillow.com/homes/for_sale//homedetails/107-Concord-Rd-Weston-MA-02493/166056637_zpid/
25 Jericho Rd # 25,Weston,MA,02493,629900,1359.0,2.0,2.0,92,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/25-Jericho-Rd-25-Weston-MA-02493/2089415107_zpid/
7 Prescott Ln,WESTON,MA,02493,2195000,6266.0,5.0,6.0,155,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Prescott-Ln-Weston-MA-02493/57134448_zpid/
12 Davenport Rd,WESTON,MA,02493,2999000,6950.0,5.0,8.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/12-Davenport-Rd-Weston-MA-02493/57136236_zpid/
36 Walnut Rd,WESTON,MA,02493,4495000,9038.0,5.0,7.0,135,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-Walnut-Rd-Weston-MA-02493/57137395_zpid/
39 Walnut Rd,WESTON,MA,02493,1675000,2216.0,5.0,3.0,98,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/39-Walnut-Rd-Weston-MA-02493/57137370_zpid/
55 Hidden Rd,WESTON,MA,02493,3800000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Hidden-Rd-Weston-MA-02493/57136271_zpid/
40 Sherburn Cir,WESTON,MA,02493,2299000,5031.0,5.0,5.0,83,New Construction,http://www.zillow.com/homes/for_sale//homedetails/40-Sherburn-Cir-Weston-MA-02493/57137735_zpid/
400 Concord Rd,WESTON,MA,02493,4990000,8600.0,5.0,8.0,1016,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/400-Concord-Rd-Weston-MA-02493/57135014_zpid/
211 Meadowbrook Rd,WESTON,MA,02493,4250000,7366.0,5.0,6.0,294,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/211-Meadowbrook-Rd-Weston-MA-02493/57136267_zpid/
289 Wellesley St,WESTON,MA,02493,3450000,8000.0,5.0,4.5,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/289-Wellesley-St-Weston-MA-02493/57136652_zpid/
79 Walnut Rd,WESTON,MA,02493,4495000,8500.0,5.0,7.0,461,New Construction,http://www.zillow.com/homes/for_sale//homedetails/79-Walnut-Rd-Weston-MA-02493/57137365_zpid/
33 Juniper Rd,WESTON,MA,02493,3145000,7256.0,4.0,5.0,42,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/33-Juniper-Rd-Weston-MA-02493/57134628_zpid/
262 Glen Rd,WESTON,MA,02493,1800000,3736.0,4.0,6.0,153,For Sale by Owner,http://www.zillow.com/homes/for_sale//homedetails/262-Glen-Rd-Weston-MA-02493/57137601_zpid/
54 Bullard Rd,WESTON,MA,02493,1649000,3395.0,5.0,4.0,65,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/54-Bullard-Rd-Weston-MA-02493/57136980_zpid/
101 Bogle St,WESTON,MA,02493,2995000,7866.0,5.0,7.0,345,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/101-Bogle-St-Weston-MA-02493/57137381_zpid/
91 Fairview Rd,WESTON,MA,02493,2595000,7825.0,5.0,6.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/91-Fairview-Rd-Weston-MA-02493/57134381_zpid/
36 Laxfield Rd,WESTON,MA,02493,1724000,3864.0,4.0,4.0,82,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-Laxfield-Rd-Weston-MA-02493/57135640_zpid/
26 Cerulean Way,WESTON,MA,02493,2250000,6285.0,4.0,4.0,108,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/26-Cerulean-Way-Weston-MA-02493/57134672_zpid/
11 Plymouth Rd,WESTON,MA,02493,2690000,7700.0,6.0,8.0,130,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/11-Plymouth-Rd-Weston-MA-02493/57134578_zpid/
72 Rockport Rd,WESTON,MA,02493,3195000,5239.0,4.0,5.0,55,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/72-Rockport-Rd-Weston-MA-02493/57137555_zpid/
2 Nottingham Ln,WESTON,MA,02493,2365000,6065.0,4.0,6.0,166,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Nottingham-Ln-Weston-MA-02493/57134443_zpid/
36 Bradyll Road,Weston,MA,02493,1225000,2569.0,4.0,3.0,210,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/36-Bradyll-Road-Weston-MA-02493/2099324847_zpid/
24 Longmeadow Rd,WESTON,MA,02493,1675000,5300.0,4.0,3.0,91,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/24-Longmeadow-Rd-Weston-MA-02493/57135114_zpid/
52 Arrowhead Rd,WESTON,MA,02493,1599000,3470.0,4.0,4.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/52-Arrowhead-Rd-Weston-MA-02493/57135060_zpid/
27 Saddle Hill Rd,WESTON,MA,02493,2485000,6569.0,5.0,5.0,81,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/27-Saddle-Hill-Rd-Weston-MA-02493/57135511_zpid/
23 Pine Summit Cir # 23PSC,Weston,MA,02493,2225000,4594.0,4.0,5.0,371,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/23-Pine-Summit-Cir-23PSC-Weston-MA-02493/2103402625_zpid/
120 Rockport Rd,Weston,MA,02493,850000,NA,NA,NA,NA,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/120-Rockport-Rd-Weston-MA-02493/2093751351_zpid/
2 Kettle Ln # 2,Weston,MA,02493,2850000,5786.0,4.0,6.0,166,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/2-Kettle-Ln-2-Weston-MA-02493/2090710938_zpid/
10 Ridgehurst Cir,WESTON,MA,02493,2375000,4729.0,4.0,5.0,NA,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/10-Ridgehurst-Cir-Weston-MA-02493/99239040_zpid/
55 Coburn Rd LOT 1,Weston,MA,02493,899000,NA,NA,NA,93,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/55-Coburn-Rd-LOT-1-Weston-MA-02493/2095674777_zpid/
23 Pine Summit Cir,Weston,MA,02493,2225000,4594.0,4.0,5.0,371,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/23-Pine-Summit-Cir-Weston-MA-02493/2102184639_zpid/
7 Pine Summit Cir,Weston,MA,02493,3350000,5717.0,5.0,5.0,434,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Pine-Summit-Cir-Weston-MA-02493/2093853768_zpid/
687 Boston Post Rd,WESTON,MA,02493,2195000,4371.0,5.0,5.0,142,Make Me Move®,http://www.zillow.com/homes/for_sale//homedetails/687-Boston-Post-Rd-Weston-MA-02493/57135812_zpid/
60 Old Rd,WESTON,MA,02493,1100000,NA,NA,NA,442,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/60-Old-Rd-Weston-MA-02493/57134333_zpid/
12 Dellbrook Rd,WESTON,MA,02493,2485000,1841.0,2.0,2.0,406,House For Sale,http://www.zillow.com/homes/for_sale//homedetails/12-Dellbrook-Rd-Weston-MA-02493/57136319_zpid/
7 Pine Summit Cir # 7,Weston,MA,02493,3350000,5717.0,5.0,5.0,469,Condo For Sale,http://www.zillow.com/homes/for_sale//homedetails/7-Pine-Summit-Cir-7-Weston-MA-02493/2094295274_zpid/
0 Conant Rd # L:2,Weston,MA,02493,999900,NA,NA,NA,77,Lot/Land For Sale,http://www.zillow.com/homes/for_sale//homedetails/0-Conant-Rd-L2-Weston-MA-02493/2089184274_zpid/
